# Provenance: Unicode 17.0.0 emoji-data.txt
# Source: https://www.unicode.org/Public/17.0.0/ucd/emoji/emoji-data.txt
# SHA-256: 2cb2bb9455cda83e8481541ecf5b6dfda66a3bb89efa3fa7c5297eccf607b72b
# Records: 81 pairs (162 elements)
00231A 00231B
0023E9 0023EC
0023F0 0023F0
0023F3 0023F3
0025FD 0025FE
002614 002615
002648 002653
00267F 00267F
002693 002693
0026A1 0026A1
0026AA 0026AB
0026BD 0026BE
0026C4 0026C5
0026CE 0026CE
0026D4 0026D4
0026EA 0026EA
0026F2 0026F3
0026F5 0026F5
0026FA 0026FA
0026FD 0026FD
002705 002705
00270A 00270B
002728 002728
00274C 00274C
00274E 00274E
002753 002755
002757 002757
002795 002797
0027B0 0027B0
0027BF 0027BF
002B1B 002B1C
002B50 002B50
002B55 002B55
01F004 01F004
01F0CF 01F0CF
01F18E 01F18E
01F191 01F19A
01F1E6 01F1FF
01F201 01F201
01F21A 01F21A
01F22F 01F22F
01F232 01F236
01F238 01F23A
01F250 01F251
01F300 01F320
01F32D 01F335
01F337 01F37C
01F37E 01F393
01F3A0 01F3CA
01F3CF 01F3D3
01F3E0 01F3F0
01F3F4 01F3F4
01F3F8 01F43E
01F440 01F440
01F442 01F4FC
01F4FF 01F53D
01F54B 01F54E
01F550 01F567
01F57A 01F57A
01F595 01F596
01F5A4 01F5A4
01F5FB 01F64F
01F680 01F6C5
01F6CC 01F6CC
01F6D0 01F6D2
01F6D5 01F6D8
01F6DC 01F6DF
01F6EB 01F6EC
01F6F4 01F6FC
01F7E0 01F7EB
01F7F0 01F7F0
01F90C 01F93A
01F93C 01F945
01F947 01F9FF
01FA70 01FA7C
01FA80 01FA8A
01FA8E 01FAC6
01FAC8 01FAC8
01FACD 01FADC
01FADF 01FAEA
01FAEF 01FAF8
