# Provenance: Unicode 17.0.0 DerivedGeneralCategory.txt
# Source: https://www.unicode.org/Public/17.0.0/ucd/extracted/DerivedGeneralCategory.txt
# SHA-256: d62e5bab70ca74f099343f71224fa051cb1fdd61a1ab45c0488c44cfc0b6102e
# Records: 327 pairs (654 elements)
000300 00036F
000483 000489
000591 0005BD
0005BF 0005BF
0005C1 0005C2
0005C4 0005C5
0005C7 0005C7
000610 00061A
00064B 00065F
000670 000670
0006D6 0006DC
0006DF 0006E4
0006E7 0006E8
0006EA 0006ED
000711 000711
000730 00074A
0007A6 0007B0
0007EB 0007F3
0007FD 0007FD
000816 000819
00081B 000823
000825 000827
000829 00082D
000859 00085B
000897 00089F
0008CA 0008E1
0008E3 000903
00093A 00093C
00093E 00094F
000951 000957
000962 000963
000981 000983
0009BC 0009BC
0009BE 0009C4
0009C7 0009C8
0009CB 0009CD
0009D7 0009D7
0009E2 0009E3
0009FE 0009FE
000A01 000A03
000A3C 000A3C
000A3E 000A42
000A47 000A48
000A4B 000A4D
000A51 000A51
000A70 000A71
000A75 000A75
000A81 000A83
000ABC 000ABC
000ABE 000AC5
000AC7 000AC9
000ACB 000ACD
000AE2 000AE3
000AFA 000AFF
000B01 000B03
000B3C 000B3C
000B3E 000B44
000B47 000B48
000B4B 000B4D
000B55 000B57
000B62 000B63
000B82 000B82
000BBE 000BC2
000BC6 000BC8
000BCA 000BCD
000BD7 000BD7
000C00 000C04
000C3C 000C3C
000C3E 000C44
000C46 000C48
000C4A 000C4D
000C55 000C56
000C62 000C63
000C81 000C83
000CBC 000CBC
000CBE 000CC4
000CC6 000CC8
000CCA 000CCD
000CD5 000CD6
000CE2 000CE3
000CF3 000CF3
000D00 000D03
000D3B 000D3C
000D3E 000D44
000D46 000D48
000D4A 000D4D
000D57 000D57
000D62 000D63
000D81 000D83
000DCA 000DCA
000DCF 000DD4
000DD6 000DD6
000DD8 000DDF
000DF2 000DF3
000E31 000E31
000E34 000E3A
000E47 000E4E
000EB1 000EB1
000EB4 000EBC
000EC8 000ECE
000F18 000F19
000F35 000F35
000F37 000F37
000F39 000F39
000F3E 000F3F
000F71 000F84
000F86 000F87
000F8D 000F97
000F99 000FBC
000FC6 000FC6
00102B 00103E
001056 001059
00105E 001060
001062 001064
001067 00106D
001071 001074
001082 00108D
00108F 00108F
00109A 00109D
00135D 00135F
001712 001715
001732 001734
001752 001753
001772 001773
0017B4 0017D3
0017DD 0017DD
00180B 00180D
00180F 00180F
001885 001886
0018A9 0018A9
001920 00192B
001930 00193B
001A17 001A1B
001A55 001A5E
001A60 001A7C
001A7F 001A7F
001AB0 001ADD
001AE0 001AEB
001B00 001B04
001B34 001B44
001B6B 001B73
001B80 001B82
001BA1 001BAD
001BE6 001BF3
001C24 001C37
001CD0 001CD2
001CD4 001CE8
001CED 001CED
001CF4 001CF4
001CF7 001CF9
001DC0 001DFF
0020D0 0020F0
002CEF 002CF1
002D7F 002D7F
002DE0 002DFF
