# Provenance: Unicode 17.0.0 DerivedGeneralCategory.txt
# Source: https://www.unicode.org/Public/17.0.0/ucd/extracted/DerivedGeneralCategory.txt
# SHA-256: d62e5bab70ca74f099343f71224fa051cb1fdd61a1ab45c0488c44cfc0b6102e
# Records: 146 pairs (292 elements)
000030 000039
0000B2 0000B3
0000B9 0000B9
0000BC 0000BE
000660 000669
0006F0 0006F9
0007C0 0007C9
000966 00096F
0009E6 0009EF
0009F4 0009F9
000A66 000A6F
000AE6 000AEF
000B66 000B6F
000B72 000B77
000BE6 000BF2
000C66 000C6F
000C78 000C7E
000CE6 000CEF
000D58 000D5E
000D66 000D78
000DE6 000DEF
000E50 000E59
000ED0 000ED9
000F20 000F33
001040 001049
001090 001099
001369 00137C
0016EE 0016F0
0017E0 0017E9
0017F0 0017F9
001810 001819
001946 00194F
0019D0 0019DA
001A80 001A89
001A90 001A99
001B50 001B59
001BB0 001BB9
001C40 001C49
001C50 001C59
002070 002070
002074 002079
002080 002089
002150 002182
002185 002189
002460 00249B
0024EA 0024FF
002776 002793
002CFD 002CFD
003007 003007
003021 003029
003038 00303A
003192 003195
003220 003229
003248 00324F
003251 00325F
003280 003289
0032B1 0032BF
00A620 00A629
00A6E6 00A6EF
00A830 00A835
00A8D0 00A8D9
00A900 00A909
00A9D0 00A9D9
00A9F0 00A9F9
00AA50 00AA59
00ABF0 00ABF9
00FF10 00FF19
010107 010133
010140 010178
01018A 01018B
0102E1 0102FB
010320 010323
010341 010341
01034A 01034A
0103D1 0103D5
0104A0 0104A9
010858 01085F
010879 01087F
0108A7 0108AF
0108FB 0108FF
010916 01091B
0109BC 0109BD
0109C0 0109CF
0109D2 0109FF
010A40 010A48
010A7D 010A7E
010A9D 010A9F
010AEB 010AEF
010B58 010B5F
010B78 010B7F
010BA9 010BAF
010CFA 010CFF
010D30 010D39
010D40 010D49
010E60 010E7E
010F1D 010F26
010F51 010F54
010FC5 010FCB
011052 01106F
0110F0 0110F9
011136 01113F
0111D0 0111D9
0111E1 0111F4
0112F0 0112F9
011450 011459
0114D0 0114D9
011650 011659
0116C0 0116C9
0116D0 0116E3
011730 01173B
0118E0 0118F2
011950 011959
011BF0 011BF9
011C50 011C6C
011D50 011D59
011DA0 011DA9
011DE0 011DE9
011F50 011F59
011FC0 011FD4
012400 01246E
016130 016139
016A60 016A69
016AC0 016AC9
016B50 016B59
016B5B 016B61
016D70 016D79
016E80 016E96
016FF4 016FF6
01CCF0 01CCF9
01D2C0 01D2D3
01D2E0 01D2F3
01D360 01D378
01D7CE 01D7FF
01E140 01E149
01E2F0 01E2F9
01E4F0 01E4F9
01E5F1 01E5FA
01E8C7 01E8CF
01E950 01E959
01EC71 01ECAB
01ECAD 01ECAF
01ECB1 01ECB4
01ED01 01ED2D
01ED2F 01ED3D
01F100 01F10C
01FBF0 01FBF9
