# Provenance: Unicode 17.0.0 DerivedGeneralCategory.txt
# Source: https://www.unicode.org/Public/17.0.0/ucd/extracted/DerivedGeneralCategory.txt
# SHA-256: d62e5bab70ca74f099343f71224fa051cb1fdd61a1ab45c0488c44cfc0b6102e
# Records: 825 pairs (1650 elements)
000030 000039
000041 00005A
000061 00007A
0000AA 0000AA
0000B2 0000B3
0000B5 0000B5
0000B9 0000BA
0000BC 0000BE
0000C0 0000D6
0000D8 0000F6
0000F8 0002C1
0002C6 0002D1
0002E0 0002E4
0002EC 0002EC
0002EE 0002EE
000300 000374
000376 000377
00037A 00037D
00037F 00037F
000386 000386
000388 00038A
00038C 00038C
00038E 0003A1
0003A3 0003F5
0003F7 000481
000483 00052F
000531 000556
000559 000559
000560 000588
000591 0005BD
0005BF 0005BF
0005C1 0005C2
0005C4 0005C5
0005C7 0005C7
0005D0 0005EA
0005EF 0005F2
000610 00061A
000620 000669
00066E 0006D3
0006D5 0006DC
0006DF 0006E8
0006EA 0006FC
0006FF 0006FF
000710 00074A
00074D 0007B1
0007C0 0007F5
0007FA 0007FA
0007FD 0007FD
000800 00082D
000840 00085B
000860 00086A
000870 000887
000889 00088F
000897 0008E1
0008E3 000963
000966 00096F
000971 000983
000985 00098C
00098F 000990
000993 0009A8
0009AA 0009B0
0009B2 0009B2
0009B6 0009B9
0009BC 0009C4
0009C7 0009C8
0009CB 0009CE
0009D7 0009D7
0009DC 0009DD
0009DF 0009E3
0009E6 0009F1
0009F4 0009F9
0009FC 0009FC
0009FE 0009FE
000A01 000A03
000A05 000A0A
000A0F 000A10
000A13 000A28
000A2A 000A30
000A32 000A33
000A35 000A36
000A38 000A39
000A3C 000A3C
000A3E 000A42
000A47 000A48
000A4B 000A4D
000A51 000A51
000A59 000A5C
000A5E 000A5E
000A66 000A75
000A81 000A83
000A85 000A8D
000A8F 000A91
000A93 000AA8
000AAA 000AB0
000AB2 000AB3
000AB5 000AB9
000ABC 000AC5
000AC7 000AC9
000ACB 000ACD
000AD0 000AD0
000AE0 000AE3
000AE6 000AEF
